iter	Logloss
269	0.3727109626
270	0.3725594028
271	0.3723940783
272	0.3722250609
273	0.3720440578
274	0.3718466967
275	0.371656665
276	0.3715139602
277	0.3713258221
278	0.3711665139
279	0.3710650808
280	0.370905625
281	0.3707187012
282	0.3705538506
283	0.3703854303
284	0.3702415214
285	0.3701138409
286	0.3699182572
287	0.369725287
288	0.3695455762
289	0.3694217262
290	0.3692461724
291	0.3691366212
292	0.3690235505
293	0.3688104616
294	0.368694245
295	0.3684849733
296	0.3683513446
297	0.368206827
298	0.3679919968
299	0.3678116592
300	0.3676568843
301	0.3675229662
302	0.3672541693
303	0.367043981
304	0.3668056027
305	0.3667017111
306	0.3666110854
307	0.3665006932
308	0.3663951596
309	0.3662610635
310	0.3661207592
311	0.3659998548
312	0.3658999545
313	0.3657489645
314	0.3655911856
315	0.3654469432
316	0.3653600542
317	0.3652203625
318	0.3650692604
319	0.3649557564
320	0.3647843604
321	0.3646776182
322	0.364579682
323	0.3644264324
324	0.3642672915
325	0.3641199264
326	0.3639781654
327	0.363831297
328	0.363643193
329	0.3634321141
330	0.3633029836
331	0.3630887254
332	0.3629341543
333	0.3627862891
334	0.3626133038
335	0.3625426912
336	0.3624162365
337	0.3622225991
338	0.3620537729
339	0.3619249543
340	0.3618384095
341	0.3616953456
342	0.3615955104
343	0.3614859881
344	0.3613756335
345	0.3612517518
346	0.3611327459
347	0.3610196474
348	0.360878435
349	0.3607157311
350	0.3605215573
351	0.3604428218
352	0.3603504668
353	0.3602615961
354	0.3601575682
355	0.3600272979
356	0.3598807106
357	0.3597582161
358	0.3595765446
359	0.359460603
360	0.3593612401
361	0.3592403421
362	0.3590713107
363	0.3589916632
364	0.3588814772
365	0.358735107
366	0.3586667264
367	0.3585317119
368	0.3584479403
369	0.3583221314
370	0.3581831598
371	0.3580359334
372	0.3578428754
373	0.3576770853
374	0.3575435703
375	0.3572318386
376	0.3570227308
377	0.3568865768
378	0.3568127078
379	0.3566214345
380	0.3565451661
381	0.3564259475
382	0.3562649516
383	0.3561770182
384	0.3559891915
385	0.3558948189
386	0.3557562411
387	0.355637364
388	0.3555706888
389	0.3553656753
390	0.355206761
391	0.3551334309
392	0.355040862
393	0.3548396468
394	0.3547719317
395	0.3546449888
396	0.3545871202
397	0.3545260814
398	0.354175717
399	0.3538975873
400	0.3538036306
401	0.35368733
402	0.353577916
403	0.3534638554
404	0.3534112759
405	0.3533287061
406	0.3531574008
407	0.353037164
408	0.3529289818
409	0.3528396583
410	0.3527487261
411	0.3526890782
412	0.3525715997
413	0.3523112598
414	0.3522003138
415	0.3520794824
416	0.3519656644
417	0.3518422702
418	0.3517434027
419	0.3516595176
420	0.3515465789
421	0.3514545315
422	0.3512937321
423	0.3511184202
424	0.3510158104
425	0.3508936492
426	0.3507674413
427	0.3506667018
428	0.3504881695
429	0.3503284328
430	0.3502072483
431	0.350107244
432	0.34999959
433	0.3499248944
434	0.3498201203
435	0.3497374475
436	0.349635664
437	0.3495099174
438	0.349447613
439	0.3493736492
440	0.3492905588
441	0.3491313181
442	0.3490158135
443	0.3489173801
444	0.348841217
445	0.3487066806
446	0.3485403121
447	0.3483706306
448	0.3482671574
449	0.3482036542
450	0.3479599222
451	0.3478268217
452	0.3477247416
453	0.347609047
454	0.347529475
455	0.3473700599
456	0.3473082657
457	0.3472585962
458	0.3471813213
459	0.3469004153
460	0.3467939009
461	0.3466974317
462	0.3465937756
463	0.3465197029
464	0.3462430677
465	0.3460895118
466	0.3460085098
467	0.3458628961
468	0.3457532284
469	0.3456198809
470	0.3455149057
471	0.3454012386
472	0.3453200644
473	0.3452537353
474	0.3451647434
475	0.3451497935
476	0.3450465672
477	0.3449586553
478	0.3448081864
479	0.3446029545
480	0.3445031705
481	0.3444346203
482	0.3443225447
483	0.3442225196
484	0.3441363201
485	0.3440251358
486	0.3439289577
487	0.3438350536
488	0.3437747271
489	0.3436851763
490	0.3436102373
491	0.343503388
492	0.3433953056
493	0.3432607263
494	0.3430826695
495	0.3429817793
496	0.3428636867
497	0.3427558126
498	0.3426282038
499	0.3425620384
