iter	Logloss
0	0.6731058702
1	0.6551409665
2	0.6376945795
3	0.6204310205
4	0.6091433167
5	0.5961460224
6	0.5862360113
7	0.5776326414
8	0.5693318433
9	0.5626815941
10	0.5565908401
11	0.548609023
12	0.5427489193
13	0.5367026473
14	0.5322331846
15	0.5278246914
16	0.5240126414
17	0.5187318042
18	0.5142231566
19	0.5116471162
20	0.5082488997
21	0.5043601311
22	0.5015967156
23	0.4983363783
24	0.4952287842
25	0.4916462938
26	0.4890943016
27	0.4875984242
28	0.4851846271
29	0.4817641257
30	0.4799461363
31	0.4786302053
32	0.4771464859
33	0.4757541771
34	0.4736422222
35	0.4720950691
36	0.4705411899
37	0.4692434712
38	0.4676486617
39	0.4656327625
40	0.4646019177
41	0.4633689079
42	0.4618168917
43	0.4605691253
44	0.4594734782
45	0.4587256052
46	0.4576775957
47	0.4565736332
48	0.4553515641
49	0.4542110481
50	0.4534458624
51	0.4528970683
52	0.451447729
53	0.4503208052
54	0.4495652377
55	0.4482906098
56	0.4463995627
57	0.4451402095
58	0.4444192162
59	0.4434090032
60	0.4426988742
61	0.4421041189
62	0.4413157389
63	0.4400491739
64	0.4393335615
65	0.4385242285
66	0.437843682
67	0.4373203741
68	0.4365219404
69	0.4359182535
70	0.4352270721
71	0.4346248239
72	0.4334335037
73	0.4329542569
74	0.4325216591
75	0.4317311967
76	0.4311316689
77	0.4306744246
78	0.4303077972
79	0.4293391908
80	0.4290473283
81	0.4285222433
82	0.4279245932
83	0.4271053168
84	0.426660483
85	0.4257833564
86	0.4253744425
87	0.4249761277
88	0.4244966532
89	0.4237025752
90	0.4233544895
91	0.4229011713
92	0.4225274879
93	0.4219221819
94	0.421570067
95	0.4210095973
96	0.4204495386
97	0.4198890973
98	0.4195089165
99	0.4192926437
100	0.4186322597
101	0.4182686005
102	0.4176594169
103	0.4170665186
104	0.4166933502
105	0.416336138
106	0.4159734125
107	0.4152403585
108	0.4149354834
109	0.4143462881
110	0.4138697504
111	0.4135504821
112	0.4133050023
113	0.4124885467
114	0.4120748751
115	0.4115256429
116	0.4112190653
117	0.410809423
118	0.4105561926
119	0.4103527432
120	0.4100131236
121	0.4097784368
122	0.4087288806
123	0.4085698733
124	0.4081880573
125	0.4079365733
126	0.4073924536
127	0.4071649307
128	0.406711928
129	0.406218064
130	0.4059257169
131	0.4057525994
132	0.4055772114
133	0.4053246774
134	0.4050491665
135	0.4048759515
136	0.404509528
137	0.4041759474
138	0.4037633412
139	0.4035688171
140	0.4032780661
141	0.402988134
142	0.4027603873
143	0.4025725826
144	0.4023691388
145	0.4022116319
146	0.401899081
147	0.4017032041
148	0.4015195764
149	0.4013192962
150	0.400876522
151	0.4004843948
152	0.4003061511
153	0.4001330243
154	0.399880038
155	0.3991661267
156	0.3986724376
157	0.3985594448
158	0.3983606068
159	0.3977068097
160	0.3973873194
161	0.3968815696
162	0.3966153986
163	0.3964706165
164	0.396189943
165	0.3955095747
166	0.3953957615
167	0.3951383888
168	0.3949973708
169	0.3947404646
170	0.3945263735
171	0.394287004
172	0.3940484992
173	0.3939041278
174	0.3936894522
175	0.3935333083
176	0.3930129237
177	0.3927766094
178	0.3926165022
179	0.3924548236
180	0.3922394732
181	0.3920854675
182	0.3919246568
183	0.3916412105
184	0.3913959939
185	0.3912859416
186	0.3911140349
187	0.3909362092
188	0.3908026682
189	0.3904114376
190	0.3900031372
191	0.3897178309
192	0.3894077337
193	0.3891336421
194	0.388998957
195	0.3888404313
196	0.3885916478
197	0.3883260595
198	0.3878860698
199	0.3877087795
200	0.3875132112
201	0.3873980867
202	0.3871741194
203	0.3870348704
204	0.3868504882
205	0.386688152
206	0.3864043916
207	0.3861968173
208	0.3857471848
209	0.3855757192
210	0.3853772625
211	0.3851881109
212	0.3849936931
213	0.3846567382
214	0.3843357676
215	0.384106034
216	0.3839116773
217	0.383762717
218	0.3836105332
219	0.383381024
220	0.383006595
221	0.382638598
222	0.3823672661
223	0.381860765
224	0.3815501126
225	0.3813180562
226	0.3811278882
227	0.3809313562
228	0.3806248078
229	0.3804297563
230	0.380150104
231	0.379974967
232	0.379768017
233	0.3795729802
234	0.379469472
235	0.3792832866
236	0.3790247709
237	0.3787896915
238	0.3785988285
239	0.3784793955
240	0.3782564792
241	0.3781107041
242	0.3779236944
243	0.3777433571
244	0.3775299476
245	0.377223135
246	0.3770142608
247	0.3767852246
248	0.3765269447
249	0.3763523723
250	0.3762278909
251	0.3760400993
252	0.3758586295
253	0.3755105721
254	0.3753711013
255	0.3751838324
256	0.3750272326
257	0.3749259356
258	0.374620255
259	0.3743908248
260	0.3742349551
261	0.3740550533
262	0.3739266472
263	0.373739248
264	0.3735732335
265	0.3733869635
266	0.3731908249
267	0.3730190629
268	0.3728404907
